title,url,discounted_price,original_price
Authentic Joyetech EVIO C Pod Kit - Black,https://www.cigabuy.com/authentic-joyetech-evio-pod-kit-black-p-20620.html,,
Authentic Eleaf Mini iStick 2 Mod - Black,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-mod-black-p-21760.html,,
Authentic Vandyvape Jackaroo Pod Kit - Carbon Fiber Silver,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-carbon-fiber-silver-p-20640.html,$26.16,$35.92 
Authentic Eleaf Mini iStick 2 Mod - Green,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-mod-green-p-21761.html,,
Projector Light 4.9ft Green & Blue Aluminum Laser Show,https://www.cigabuy.com/projector-light-49ft-green-blue-aluminum-laser-show-p-11522.html,$2.42,$39.93 
Authentic SMOK Novo 4 Pod Kit - Fluid Black Grey,https://www.cigabuy.com/authentic-smok-novo-4-pod-kit-fluid-black-grey-p-20733.html,,
Authentic Uwell Whirl S Pen Kit - Coffee,https://www.cigabuy.com/authentic-uwell-whirl-s-pen-kit-coffee-p-20633.html,$21.72,$38.81 
AXGIO Super Mini Nano Wireless Stereo Earphone with Mic for Cellphone,https://www.cigabuy.com/axgio-super-mini-nano-wireless-stereo-earphone-with-mic-for-cellphone-p-20703.html,$1.19,$19.25 
Authentic Eleaf Mini iStick 2 Mod - Grey,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-mod-grey-p-21762.html,,
Authentic VOOPOO SEAL Pod Kit - Tiffany Blue,https://www.cigabuy.com/authentic-voopoo-seal-pod-kit-tiffany-blue-p-21642.html,,
Authentic FreeMax Marvos T 80W Pod Kit - Red,https://www.cigabuy.com/authentic-freemax-marvos-t-80w-pod-kit-red-p-21237.html,,
Authentic FreeMax Marvos T 80W Pod Kit - Grey,https://www.cigabuy.com/authentic-freemax-marvos-t-80w-pod-kit-grey-p-21236.html,,
X96 Mini Android 7.1 TV BOX 2GB 16GB Amlogic S905W Quad Core WiFi,https://www.cigabuy.com/x96-mini-android-71-tv-box-2gb-16gb-amlogic-s905w-quad-core-wifi-p-14830.html,$24.10,$39.93 
Authentic Geekvape Wenax Stylus Pod Starter Kit - Granite Grey,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-granite-grey-p-19297.html,$15.61,$23.84 
"X11 Bluetooth Smartwatch Phone Android 5.1 512M/4G 1.54"" Screen",https://www.cigabuy.com/x11-bluetooth-smartwatch-phone-android-51-512m4g-154-screen-p-21724.html,$1.18,$143.01 
Authentic Vaporesso GTX GO 80 Kit - Blue,https://www.cigabuy.com/authentic-vaporesso-gtx-go-80-kit-blue-p-21287.html,,
Authentic Geekvape Wenax C1 Kit - White,https://www.cigabuy.com/authentic-geekvape-wenax-c1-kit-white-p-20496.html,$15.69,$23.15 
2pcs Authentic Joyetech Riftcore Duo RTA 3.5ML - Black,https://www.cigabuy.com/2pcs-authentic-joyetech-riftcore-duo-rta-35ml-black-p-21260.html,$8.76,$12.16 
5pcs Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Purple,https://www.cigabuy.com/5pcs-authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-purple-p-21144.html,$10.65,$18.03 
Authentic Aspire Zelos 3 Mod - Black,https://www.cigabuy.com/authentic-aspire-zelos-3-mod-black-p-21713.html,,
Authentic VOOPOO DRAG Max 177W Kit with PNP Tank - Retro,https://www.cigabuy.com/authentic-voopoo-drag-max-177w-kit-with-pnp-tank-retro-p-20056.html,$40.90,$44.09 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-black-p-21087.html,$62.15,$99.70 
Authentic VOOPOO VINCI 2 Pod Kit - Carbon Fiber,https://www.cigabuy.com/authentic-voopoo-vinci-2-pod-kit-carbon-fiber-p-21268.html,$26.16,$27.47 
JM-PJ1010 10 in 1 Multifunctional Pliers Outdoor Folding Plier With Knife,https://www.cigabuy.com/jm-pj1010-10-in-1-multifunctional-pliers-outdoor-folding-plier-with-knife-p-14549.html,$5.75,$17.99 
Authentic Eleaf Mini iStick 2 Kit - Green,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-kit-green-p-21757.html,,
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey+Blue,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-greyblue-p-21241.html,$15.20,$19.47 
Authentic Geekvape Obelisk 60 Pod Kit - Black,https://www.cigabuy.com/authentic-geekvape-obelisk-60-pod-kit-black-p-21173.html,,
Authentic Joyetech eGo Pod System Kit 1000mAh  - Black,https://www.cigabuy.com/authentic-joyetech-ego-pod-system-kit-1000mah-black-p-19399.html,$8.73,$9.30 
Authentic Eleaf Mini iStick 2 Kit - Black,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-kit-black-p-21756.html,,
Authentic Eleaf Mini iStick 2 Kit - Rose Gold,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-kit-rose-gold-p-21759.html,,
Authentic Joyetech EVIO BOX Pod Kit - Blue PC Version,https://www.cigabuy.com/authentic-joyetech-evio-box-pod-kit-blue-pc-version-p-21765.html,,
5pcs Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/5pcs-authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-21143.html,$10.65,$18.03 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit no Fast Charger - Gunmetal,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-no-fast-charger-gunmetal-p-21089.html,,
Authentic Joyetech EVIO BOX Pod Kit - Jungle,https://www.cigabuy.com/authentic-joyetech-evio-box-pod-kit-jungle-p-21766.html,,
Authentic Geekvape Aegis Nano Pod Kit  - Camo Green,https://www.cigabuy.com/authentic-geekvape-aegis-nano-pod-kit-camo-green-p-21178.html,,
Authentic Eleaf Mini iStick 2 Mod - Rose Gold,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-mod-rose-gold-p-21763.html,,
Authentic Eleaf Mini iStick 2 Kit - Grey,https://www.cigabuy.com/authentic-eleaf-mini-istick-2-kit-grey-p-21758.html,,
Authentic Eleaf iSolo R Pod Kit - Light Brown,https://www.cigabuy.com/authentic-eleaf-isolo-r-pod-kit-light-brown-p-20647.html,$20.60,$23.47 
Authentic Uwell Whirl T1 Pod Mod Kit - Black,https://www.cigabuy.com/authentic-uwell-whirl-t1-pod-mod-kit-black-p-21566.html,,
100pcs Cotton Wicks for Rebuildable Atomizer 20pcs/pack,https://www.cigabuy.com/100pcs-cotton-wicks-for-rebuildable-atomizer-20pcspack-p-21263.html,$18.91,$21.99 
